Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
A Ahmadhel ,BUL,2019,2024,12,8,1,33,15,FALSE,4.714285714285714,50,66,0,0,1,3,0
A Amado ,ISR,2022,2022,3,3,0,25,16,FALSE,8.333333333333334,37,67.56756756756756,0,0,0,3,0
A Andrews ,SUI,2021,2022,7,4,2,34,30,TRUE,17,40,85,0,0,1,3,0
A Anemogiannis ,GRC,2019,2019,1,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Ashok,New Zealand,2023,2023,2,2,0,65,NA,FALSE,65,0,61,0,0,0,0,0
A Ashok ,New Zealand,2023,2023,1,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Ashokan ,CZK-R,2019,2023,31,30,6,655,55,TRUE,27.291666666666668,580,112.93103448275863,0,3,0,31,26
A Aspiotis ,GRC,2019,2019,3,1,1,3,3,TRUE,Inf,4,75,0,0,0,0,0
A Athanaze,West Indies,2023,2024,12,2,0,19,NA,FALSE,Inf,0,Inf,0,0,0,0,0
A Athanaze ,West Indies,2023,2024,14,22,1,586,92,FALSE,26.694444444444443,61,122.95081967213115,0,3,1,4,5
A Bacher ,South Africa,1965,1970,12,22,1,679,73,FALSE,32.333333333333336,0,NA,0,6,1,0,0
A Bagai,Canada,2003,2013,62,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Bagai ,Canada,2008,2013,9,9,2,284,67,TRUE,40.57142857142857,249,114.05622489959839,0,2,0,27,0
A Balbirnie,Ireland,2010,2024,111,3,0,68,NA,FALSE,34,0,30,0,0,0,0,0
A Balbirnie ,Ireland,2015,2024,119,124,5,2793,95,FALSE,23.519607843137255,1941,123.23544564657394,0,16,9,254,68
A Bhadauria ,LUX,2022,2022,2,2,0,40,21,FALSE,20,31,129.03225806451613,0,0,0,6,0
A Bhagwat ,Hong Kong,2019,2019,4,4,0,5,3,FALSE,1.25,16,31.25,0,0,1,0,0
A Bhandari,India,2000,2004,2,2,0,106,NA,FALSE,21.2,0,21.2,0,0,0,0,0
A Bhargava ,SGP,2022,2023,5,3,1,12,5,FALSE,6,9,133.33333333333331,0,0,0,2,0
A Bhattarai ,NEP,2014,2014,1,1,0,2,2,FALSE,2,3,66.66666666666666,0,0,0,0,0
A Bishnoi ,MLT,2021,2023,12,9,5,11,4,TRUE,2.75,21,52.38095238095239,0,0,3,0,0
A Bohara,NEP,2020,2020,2,2,0,51,NA,FALSE,Inf,0,Inf,0,0,0,0,0
A Bohara ,NEP,2019,2024,62,17,10,23,12,FALSE,3.2857142857142856,33,69.6969696969697,0,0,5,1,1
A Brown ,England,1961,1961,2,1,1,3,3,TRUE,Inf,0,NA,0,0,0,0,0
A Bulow ,DEN,2019,2019,2,1,0,11,11,FALSE,11,13,84.61538461538461,0,0,0,0,1
A Bushell ,GUE,2023,2023,3,1,0,5,5,FALSE,5,8,62.5,0,0,0,0,0
A Busing-Volschenk ,Namibia,2024,2024,1,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
A Carthew ,Chile,2019,2023,6,3,2,14,6,TRUE,14,24,58.333333333333336,0,0,0,0,0
A Chaubey ,CRT,2024,2024,4,4,0,14,7,FALSE,3.5,21,66.66666666666666,0,0,1,0,2
A Chaudhary ,SGP,2023,2024,5,4,0,42,37,FALSE,10.5,44,95.45454545454545,0,0,1,5,0
A Chopra ,India,2003,2004,10,19,0,437,60,FALSE,23,0,NA,0,2,1,0,0
A Codrington,Canada,2003,2007,9,8,0,265,NA,FALSE,26.5,0,30,0,0,0,0,0
A Coningham ,Australia,1894,1895,1,2,0,13,10,FALSE,6.5,0,NA,0,0,0,0,0
A Conteh ,GMB,2022,2023,9,8,0,45,9,FALSE,5.625,81,55.55555555555556,0,0,1,4,0
A Cotter ,Australia,1904,1912,21,37,2,457,45,FALSE,13.057142857142857,0,NA,0,0,6,0,0
A Coxon ,England,1948,1948,1,2,0,19,19,FALSE,9.5,0,NA,0,0,1,0,0
A D'Souza ,Pakistan,1959,1962,6,10,8,76,23,TRUE,38,0,NA,0,0,0,0,0
