Player,Country,Start,End,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets,TenWickets
A Ahmadhel,BUL,2019,2024,12,8,17.4,0,155,6,25.833333333333332,8.773584905660378,17.666666666666664,2/16,0,0,0
A Amado,ISR,2022,2022,3,3,6,0,58,3,19.333333333333332,9.666666666666666,12,2/38,0,0,0
A Andrews,SUI,2021,2022,7,4,11,0,82,4,20.5,7.454545454545454,16.5,3/21,0,0,0
A Anemogiannis,GRC,2019,2019,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Ashok,New Zealand,2023,2023,3,3,4,0,93,2,46.5,6.69672131147541,42.5,1/63,0,0,0
A Ashokan,CZK-R,2019,2023,31,25,74.5,1,580,20,29,7.750556792873052,22.45,3/32,0,0,0
A Aspiotis,GRC,2019,2019,3,3,11,0,71,4,17.75,6.454545454545454,16.5,2/24,0,0,0
A Athanaze,West Indies,2023,2024,26,6,0,0,93,1,Inf,4.056818181818182,Inf,1/53,0,0,0
A Bacher,South Africa,1965,1970,12,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Bagai,Canada,2003,2013,71,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Balbirnie,Ireland,2010,2024,230,4,0,0,76,2,Inf,7.4,Inf,1/26,0,0,0
A Bhadauria,LUX,2022,2022,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Bhagwat,Hong Kong,2019,2019,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Bhandari,India,2000,2004,2,2,0,0,106,5,21.2,6,21.2,3/31,0,0,0
A Bhargava,SGP,2022,2023,5,4,13,0,74,9,8.222222222222221,5.6923076923076925,8.666666666666666,4/19,1,0,0
A Bhattarai,NEP,2014,2014,1,1,3,0,12,1,12,4,18,1/12,0,0,0
A Bishnoi,MLT,2021,2023,12,12,33.5,2,306,12,25.5,9.044334975369457,16.916666666666668,4/35,1,0,0
A Bohara,NEP,2019,2024,64,61,201.4,2,1529,75,Inf,5.982644628099174,Inf,6/11,2,1,0
A Brown,England,1961,1961,2,4,0,0,150,3,50,2.786377708978328,107.66666666666667,3/27,0,0,0
A Bulow,DEN,2019,2019,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Bushell,GUE,2023,2023,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Busing-Volschenk,Namibia,2024,2024,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Carthew,Chile,2019,2023,6,2,5,0,31,2,15.5,6.2,15,1/12,0,0,0
A Chaubey,CRT,2024,2024,4,4,13.1,0,126,3,42,9.569620253164558,26.333333333333332,3/30,0,0,0
A Chaudhary,SGP,2023,2024,5,5,13,0,101,3,33.666666666666664,7.769230769230769,26,2/9,0,0,0
A Chopra,India,2003,2004,10,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Codrington,Canada,2003,2007,9,8,0,0,265,10,26.5,5.3,30,5/27,0,1,0
A Coningham,Australia,1894,1895,1,2,0,0,76,2,38,2.4516129032258065,93,2/17,0,0,0
A Conteh,GMB,2022,2023,9,8,25.1,0,161,9,17.88888888888889,6.397350993377483,16.77777777777778,4/10,1,0,0
A Cotter,Australia,1904,1912,21,38,0,0,2549,89,28.640449438202246,3.301100798618606,52.056179775280896,7/148,0,7,0
A Coxon,England,1948,1948,1,2,0,0,172,3,57.333333333333336,2.7301587301587302,126,2/90,0,0,0
A D'souza,Pakistan,1959,1962,6,9,0,0,745,17,43.8235294117647,2.816635160680529,93.3529411764706,5/112,0,1,0
