Player,Country,Start,End,Matches,Innings,Dismissals,Caught,CaughtFielder,CaughtBehind,Stumped,MaxDismissalsInnings
A Ahmadhel,BUL,2019,2024,12,11,1,1,1,0,0,1
A Amado,ISR,2022,2022,3,3,2,2,2,0,0,1
A Andrews,SUI,2021,2022,7,7,7,7,7,0,0,2
A Anemogiannis,GRC,2019,2019,1,1,0,0,0,0,0,0
A Ashok,New Zealand,2023,2023,3,3,1,1,1,0,0,1
A Ashokan,CZK-R,2019,2023,31,31,14,14,14,0,0,2
A Aspiotis,GRC,2019,2019,3,3,0,0,0,0,0,0
A Athanaze,West Indies,2023,2024,26,33,14,14,14,0,0,2
A Bacher,South Africa,1965,1970,12,24,10,10,10,0,0,2
A Bagai,Canada,2003,2013,71,71,79,64,1,63,15,4
A Balbirnie,Ireland,2010,2024,230,231,89,89,89,0,0,4
A Bhadauria,LUX,2022,2022,2,2,1,1,1,0,0,1
A Bhagwat,Hong Kong,2019,2019,4,4,2,2,0,2,0,2
A Bhandari,India,2000,2004,2,2,0,0,0,0,0,0
A Bhargava,SGP,2022,2023,5,5,1,1,1,0,0,1
A Bhattarai,NEP,2014,2014,1,1,0,0,0,0,0,0
A Bishnoi,MLT,2021,2023,12,12,1,1,1,0,0,1
A Bohara,NEP,2019,2024,64,64,11,11,11,0,0,1
A Brown,England,1961,1961,2,4,1,1,1,0,0,1
A Bulow,DEN,2019,2019,2,1,0,0,0,0,0,0
A Bushell,GUE,2023,2023,3,3,4,3,0,3,1,3
A Busing-Volschenk,Namibia,2024,2024,1,1,2,2,2,0,0,2
A Carthew,Chile,2019,2023,6,6,0,0,0,0,0,0
A Chaubey,CRT,2024,2024,4,4,2,2,2,0,0,2
A Chaudhary,SGP,2023,2024,5,5,0,0,0,0,0,0
A Chopra,India,2003,2004,10,19,15,15,15,0,0,3
A Codrington,Canada,2003,2007,9,9,0,0,0,0,0,0
A Coningham,Australia,1894,1895,1,2,0,0,0,0,0,0
A Conteh,GMB,2022,2023,9,9,2,2,2,0,0,1
A Cotter,Australia,1904,1912,21,40,8,8,8,0,0,2
A Coxon,England,1948,1948,1,2,0,0,0,0,0,0
A D'souza,Pakistan,1959,1962,6,10,3,3,3,0,0,2
A Dananjaya,Sri Lanka,2012,2024,81,86,22,22,22,0,0,2
A Davidson Soler,ESP,2024,2024,9,9,9,4,0,4,5,3
A Daxini,CRT,2023,2023,4,3,0,0,0,0,0,0
A Denuwan,ITA,2022,2022,3,3,0,0,0,0,0,0
A Desai,United States of America,2024,2024,1,1,1,1,1,0,0,1
A Dhingra,LUX,2021,2023,18,18,2,2,2,0,0,1
A Dizija,SRB,2022,2024,25,24,5,5,5,0,0,1
A Djorovic,SRB,2019,2023,11,11,2,2,2,0,0,1
A Dolphin,England,1921,1921,1,2,1,1,0,1,0,1
A Donovan,PHI,2024,2024,3,3,0,0,0,0,0,0
A Dowling,BUL,2024,2024,1,1,0,0,0,0,0,0
A Ducat,England,1921,1921,1,2,1,1,1,0,0,1
A Dutt,NED,2021,2024,62,62,12,12,12,0,0,2
A Faletar,CRT,2023,2023,4,3,0,0,0,0,0,0
A Ferguson,Arg,2019,2023,19,19,5,5,4,1,0,1
A Fielder,England,1904,1908,6,12,4,4,4,0,0,2
A Flintoff,England,2005,2007,7,7,5,5,5,0,0,2
A Flintoff (Eng/Icc),NA,1998,2009,220,284,99,99,99,0,0,3
A Flower,Zimbabwe,1992,2003,276,322,333,292,17,275,41,5
A Gandotra,India,1969,1969,2,4,1,1,1,0,0,1
A Gasteratos,GRC,2022,2024,6,6,0,0,0,0,0,0
A Gavde,CAY,2019,2019,1,1,0,0,0,0,0,0
A Gbla,Sri LankaE,2021,2024,28,28,8,8,8,0,0,3
A Gorawara,Hong Kong,2023,2024,4,4,3,3,1,2,0,1
A Govorko,CRT,2024,2024,4,4,4,4,0,4,0,2
A Greenwood,England,1877,1877,2,4,2,2,2,0,0,1
A Habib,England,1999,1999,2,4,0,0,0,0,0,0
A Halbhavi,LUX,2021,2023,16,16,2,2,2,0,0,1
A Harikumar,BUL,2021,2021,1,1,0,0,0,0,0,0
A Harris,Bhm,2021,2022,6,6,1,1,1,0,0,1
A Hearne,England,1892,1892,1,2,1,1,1,0,0,1
A Hill,England,1877,1877,2,4,1,1,1,0,0,1
A Hurwood,Australia,1930,1931,2,4,2,2,2,0,0,2
A Husain,Arg,2019,2024,16,16,5,5,5,0,0,1
A Ilaoa,Samoa,2023,2024,7,7,8,7,0,7,1,5
A Jackson,Australia,1929,1931,8,16,7,7,7,0,0,2
A Jadeja,India,1992,2000,211,220,64,64,64,0,0,2
A Johnmary,Fran,2021,2021,2,2,1,1,1,0,0,1
A Johnson,Canada,2022,2024,45,44,18,18,18,0,0,2
A Kadowaki Fleming,Japan,2024,2024,3,3,1,1,1,0,0,1
A Kainessie,Sri LankaE,2023,2024,9,9,1,1,1,0,0,1
A Kalasi,THA,2023,2024,11,11,2,2,2,0,0,1
A Kansonkho,MWest Indies,2021,2023,7,7,5,5,5,0,0,3
A Kapoor,Canada,2022,2022,2,2,1,1,1,0,0,1
A Karn,NEP,2015,2015,2,2,0,0,0,0,0,0
A Karvelas,GRC,2022,2022,1,1,0,0,0,0,0,0
A Kaul,SGP,2022,2024,11,11,3,3,3,0,0,1
A Khan,England,2009,2009,1,2,0,0,0,0,0,0
A Khan (Den/Eng),NA,2009,2022,9,9,0,0,0,0,0,0
A Kheterpal,HUN,2021,2023,18,18,4,4,4,0,0,1
A Kirschbaum,Arg,2021,2024,15,15,7,7,7,0,0,2
A Krishna,SGP,2019,2023,18,18,2,2,2,0,0,1
A Kumble,India,1990,2008,132,242,60,60,60,0,0,2
A Kumble (Asia/Ind),NA,1990,2007,271,268,85,85,85,0,0,2
A Kuruvilla,India,1997,1997,35,40,4,4,4,0,0,1
A Lagos,GRC,2019,2019,1,1,1,1,1,0,0,1
A Langham,STHEL,2022,2022,7,6,0,0,0,0,0,0
A Lark,Aut,2019,2019,5,5,3,3,3,0,0,1
A Limdawala,MWest Indies,2022,2024,33,33,20,20,20,0,0,3
A Lyth,England,2015,2015,7,13,8,8,8,0,0,2
A Magdalenic,CRT,2023,2024,9,8,0,0,0,0,0,0
A Maheshwari,CRT,2022,2024,12,12,5,5,5,0,0,2
A Makesh,KUW,2019,2019,4,4,1,1,1,0,0,1
A Manatos,GRC,2021,2021,1,1,0,0,0,0,0,0
A Manepalli,LUX,2020,2024,8,8,8,8,0,8,0,3
A Manousis,GRC,2019,2022,11,11,4,2,2,0,2,1
A Mansale,VAN,2019,2024,34,34,16,16,16,0,0,3
A Maregwede,Zimbabwe,2003,2005,13,13,3,3,3,0,0,1
A Martel,GUE,2022,2024,18,18,3,3,3,0,0,2
A Martin,West Indies,2011,2011,10,10,5,5,5,0,0,2
A Mcauley,IOM,2020,2024,23,22,4,4,4,0,0,1
A Mcgrath,England,2003,2004,18,20,7,7,7,0,0,2
A Mehmood,Hong Kong,2016,2024,7,7,1,1,1,0,0,1
A Melville,South Africa,1938,1949,11,20,8,8,8,0,0,2
A Mene-Ejegi,SRB,2022,2024,13,13,5,5,5,0,0,2
A Mishra,India,2003,2017,68,85,14,14,14,0,0,1
A Mitchell,England,1933,1936,6,12,9,9,9,0,0,2
A Mithun,India,2010,2011,9,13,1,1,1,0,0,1
A Modi,SGP,2022,2022,7,7,2,2,2,0,0,2
A Mongar,BHU,2023,2023,2,2,0,0,0,0,0,0
A Morris,CAY,2019,2023,12,12,0,0,0,0,0,0
A Mucyodusenge,RWN,2022,2022,1,1,0,0,0,0,0,0
A Mukund,India,2011,2017,7,14,6,6,6,0,0,2
A Mundra,SWE,2024,2024,4,4,5,4,0,4,1,3
A Mustafa,Arg,2021,2023,2,2,2,2,2,0,0,2
A Mutreja,SGP,2022,2024,13,13,9,9,9,0,0,2
A Nagarajan,QAT,2024,2024,1,1,0,0,0,0,0,0
A Nanda,LUX,2019,2024,31,31,13,13,13,0,0,2
A Nao,Papau New Guinea,2017,2024,44,44,15,15,15,0,0,2
A Nathwani,Aut,2019,2023,29,29,3,3,3,0,0,1
A Natubhai Ahir,PAN,2019,2023,16,16,11,6,3,3,5,2
A Ndlovu,Zimbabwe,2019,2024,16,17,6,6,6,0,0,2
A Nehra,India,1999,2017,44,57,9,9,9,0,0,1
A Nehra (Asia/Ind),NA,2001,2011,120,120,18,18,18,0,0,2
A Neill,Scotland,2019,2023,14,14,7,7,7,0,0,2
A Nel,South Africa,2001,2008,117,148,38,38,38,0,0,2
A Nimaga,Mali,2024,2024,3,3,1,1,1,0,0,1
A Nortje,South Africa,2019,2024,83,95,19,19,19,0,0,2
A Orfila,GIBR,2019,2021,5,5,0,0,0,0,0,0
A Osei,GHA,2022,2024,17,17,2,1,1,0,1,1
A Otwani,UGA,2019,2022,17,16,5,5,3,2,0,1
A Parima,COK,2022,2024,12,12,7,7,5,2,0,1
A Patel,Canada,2003,2019,4,4,0,0,0,0,0,0
A Paul,EST,2022,2024,13,13,7,7,7,0,0,3
A Phillip,West Indies,2021,2022,7,9,2,2,2,0,0,1
A Poulose,OMA,2017,2017,3,3,2,2,2,0,0,1
A Prashar,HUN,2023,2023,5,5,0,0,0,0,0,0
A Pusthay,FIN,2019,2022,12,12,6,6,6,0,0,1
A Rajshekara,ROM,2024,2024,8,8,1,1,1,0,0,1
A Ranatunga,Sri Lanka,1982,2000,362,416,110,110,110,0,0,3
A Randhawa,Aut,2022,2024,21,21,5,5,5,0,0,1
A Rangaswamy,BOT,2019,2021,8,8,1,1,1,0,0,1
A Ratra,India,2002,2002,18,23,29,22,0,22,7,3
A Reyes,GIBR,2021,2024,24,24,8,8,8,0,0,2
A Rose-Innes,South Africa,1889,1889,2,3,2,2,2,0,0,2
A Sandham,England,1921,1930,14,24,4,4,4,0,0,1
A Sanford,West Indies,2002,2004,11,19,4,4,4,0,0,2
A Sarma,GER,2019,2021,5,5,2,2,2,0,0,1
A Sathya,Mex,2019,2019,3,3,2,2,2,0,0,1
A Sathyan,CRT,2024,2024,2,2,0,0,0,0,0,0
A Saud,NEP,2022,2024,14,14,14,10,0,10,4,3
A Sawyer,GIBR,2023,2024,3,3,0,0,0,0,0,0
A Shahi,CYP,2024,2024,9,9,5,5,5,0,0,2
A Shahzad,England,2010,2011,15,16,7,7,7,0,0,2
A Shamshudeen,Canada,2007,2007,1,1,0,0,0,0,0,0
A Sharafu,United Arab Emirates,2020,2024,53,53,23,23,23,0,0,2
A Sharma,United Arab Emirates,2023,2024,25,25,20,18,0,18,2,3
A Shaw,England,1877,1882,7,13,4,4,4,0,0,2
A Shirai-Patmore,Japan,2022,2024,26,26,21,11,0,11,10,3
A Shreshta,NGA,2021,2023,22,22,20,18,0,18,2,3
A Shrewsbury Snr,England,1881,1893,23,42,29,29,29,0,0,3
A Shukla,Hong Kong,2022,2024,43,42,6,6,6,0,0,2
A Sidebottom,England,1985,1985,1,1,0,0,0,0,0,0
A Simelane,South Africa,2024,2024,4,4,1,1,1,0,0,1
A Sokovagone,Fiji,2024,2024,6,6,3,3,3,0,0,1
A Srivastav,Chile,2019,2019,4,4,1,1,1,0,0,1
A Symonds,Australia,1998,2009,238,262,107,107,107,0,0,4
A Tripathi,Mex,2019,2024,8,8,2,2,2,0,0,1
A Trivedi,LUX,2022,2022,1,1,0,0,0,0,0,0
A Turay,Sri LankaE,2022,2024,19,19,3,3,3,0,0,1
A Turkmen,TKY,2022,2024,12,11,4,4,4,0,0,1
A Turner,Australia,1975,1977,20,33,18,18,18,0,0,4
A Uniyal,Chile,2019,2023,5,5,1,1,1,0,0,1
A Vala,Papau New Guinea,2014,2024,129,129,64,64,64,0,0,3
A Van Der Merwe,Ireland,2010,2011,9,9,1,1,1,0,0,1
A Venkatesh,SWE,2021,2022,16,16,9,9,9,0,0,3
A Waddington,England,1920,1921,2,4,1,1,1,0,0,1
A Ward,England,1893,1976,12,22,4,4,4,0,0,2
A Warren,England,1905,1905,1,2,1,1,1,0,0,1
A Wharton,England,1949,1949,1,2,0,0,0,0,0,0
A Wood,England,1938,1939,4,7,11,10,0,10,1,2
A Wright,CAY,2023,2023,4,4,1,1,1,0,0,1
A Yon,STHEL,2022,2024,8,7,0,0,0,0,0,0
A Zampa,Australia,2016,2024,201,200,33,33,33,0,0,2
Aa Baig,India,1959,1967,10,17,6,6,6,0,0,1
Aa Banner,Blz,2019,2021,9,9,2,2,2,0,0,2
Aa Donald,South Africa,1991,2003,236,296,46,46,46,0,0,2
Aa Gajic,SRB,2022,2024,18,17,5,5,5,0,0,2
Aa Hawoe,INA,2024,2024,2,2,0,0,0,0,0,0
Aa Hussein,TAN,2022,2022,2,2,1,1,1,0,0,1
Aa Jasani,TAN,2021,2021,6,6,0,0,0,0,0,0
Aa Mailey,Australia,1920,1926,21,38,14,14,14,0,0,2
Aa Mallett,Australia,1968,1980,47,82,34,34,34,0,0,2
Aa Mulla,Canada,2006,2009,28,28,17,10,5,5,7,2
Aa Navicha,MOZ,2021,2024,28,28,5,5,5,0,0,1
Aa Noffke,Australia,2007,2008,3,3,0,0,0,0,0,0
Aa Obanda,Kenya,2007,2023,100,99,22,22,22,0,0,2
Aa Onikoyi,NGA,2019,2023,29,28,8,8,6,2,0,1
Aa Paradkar,United States of America,2021,2024,10,10,1,1,1,0,0,1
Aa Rahayu,INA,2023,2024,11,11,3,3,3,0,0,1
Aa Shafique,OMA,2023,2023,2,2,4,2,0,2,2,3
Aa Westphal,Mex,2019,2019,5,5,1,1,1,0,0,1
Aaa Patel,LES,2021,2022,8,8,2,2,2,0,0,1
Aadil Bhaiyat,SWZ,2024,2024,5,5,4,4,2,2,0,2
Aaditya Varadarajan,Canada,2024,2024,3,3,1,1,1,0,0,1
Aaftab Alam Khan,MLT,2021,2023,27,27,20,18,3,15,2,2
Aakash Chand,NEP,2024,2024,5,5,2,2,2,0,0,1
Aamer Hameed,Pakistan,1977,1978,2,2,1,1,1,0,0,1
Aamer Hanif,Pakistan,1993,1995,5,5,0,0,0,0,0,0
Aamer Ikram,PORT,2019,2019,4,4,0,0,0,0,0,0
Aamer Jamal,Pakistan,2022,2024,12,17,5,5,5,0,0,3
Aamer Malik,Pakistan,1987,1994,38,50,32,28,14,14,4,4
Aamer Nazir,Pakistan,1993,1995,15,21,2,2,2,0,0,2
Aamer Sohail,Pakistan,1990,2000,203,241,85,85,85,0,0,3
Aamer Yamin,Pakistan,2015,2018,6,6,0,0,0,0,0,0
Aamir Kaleem,OMA,2015,2024,43,42,18,18,18,0,0,2
Aamir Lal,SKOR,2022,2024,10,10,0,0,0,0,0,0
Aanand Pandey,LUX,2021,2021,3,3,0,0,0,0,0,0
Aap Atkinson,England,2023,2024,20,28,2,2,2,0,0,1
Aap Rivero,Arg,2023,2024,9,9,3,3,3,0,0,2
Aaqib Javed,Pakistan,1988,1998,185,197,26,26,26,0,0,1
Aarif Sheikh,NEP,2018,2024,98,97,36,36,36,0,0,3
Aarnav Patel,Kenya,2024,2024,2,2,0,0,0,0,0,0
Aaron Jones,United States of America,2019,2024,87,87,24,24,24,0,0,2
Aasif Sheikh,NEP,2021,2024,110,109,83,66,12,54,17,4
Aaw Gunawardena,Sri Lanka,1994,1994,1,1,0,0,0,0,0,0
Aayan Afzal Khan,United Arab Emirates,2022,2024,70,70,8,8,8,0,0,2
Ab Agarkar,India,1998,2007,221,239,58,58,58,0,0,2
Ab Barath,West Indies,2009,2012,31,42,17,17,17,0,0,3
Ab De Villiers,South Africa,2004,2018,192,295,299,287,165,122,12,6
Ab De Villiers (Afr/Sa),NA,2005,2018,228,223,181,176,83,93,5,5
Ab Dinda,India,2009,2013,22,22,2,2,2,0,0,1
Ab Dursak,TKY,2019,2019,4,4,2,2,2,0,0,2
Ab Fudadin,West Indies,2012,2012,3,5,4,4,4,0,0,2
Ab Howard,West Indies,1972,1972,1,1,0,0,0,0,0,0
Ab Kamara,Sri LankaE,2021,2021,9,9,3,3,3,0,0,1
Ab Mcdonald,Australia,2009,2009,4,7,2,2,2,0,0,1
Ab Mengoumou,CAM,2021,2022,8,8,1,1,1,0,0,1
Ab Tancred,South Africa,1889,1889,2,3,2,2,2,0,0,1
Ab Williams,West Indies,1978,1979,7,12,5,5,5,0,0,2
