match_id,balls_per_over,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,winner_innings,outcome,method
291352,6,Australia,India,male,2007/08,2008/01/02,Border-Gavaskar Trophy,2,Sydney Cricket Ground,NA,Australia,bat,A Symonds,MR Benson,SA Bucknor,RJ Tucker,BNJ Oxenford,MJ Procter,Australia,122,NA,NA,NA,NA
298802,6,South Africa,West Indies,male,2007/08,2008/01/02,Sir Vivian Richards Trophy,2,Newlands,Cape Town,West Indies,bat,AG Prince,SJA Taufel,RB Tiffin,MW Brown,M Erasmus,RS Mahanama,South Africa,NA,7,NA,NA,NA
300429,6,New Zealand,Bangladesh,male,2007/08,2008/01/04,Bangladesh in New Zealand Test Series,1,University Oval,Dunedin,New Zealand,field,JDP Oram,NJ Llong,PD Parker,RD Anderson,AL Hill,BC Broad,New Zealand,NA,9,NA,NA,NA
298803,6,South Africa,West Indies,male,2007/08,2008/01/10,Sir Vivian Richards Trophy,3,Kingsmead,Durban,South Africa,field,AG Prince,Aleem Dar,SJA Taufel,ZTA Ndamane,BG Jerling,RS Mahanama,South Africa,100,NA,1,NA,NA
300430,6,New Zealand,Bangladesh,male,2007/08,2008/01/12,Bangladesh in New Zealand Test Series,2,Basin Reserve,Wellington,New Zealand,field,DL Vettori,NJ Llong,PD Parker,EJ Gray,GAV Baxter,BC Broad,New Zealand,137,NA,1,NA,NA
291354,6,Australia,India,male,2007/08,2008/01/24,Border-Gavaskar Trophy,4,Adelaide Oval,NA,India,bat,SR Tendulkar,Asad Rauf,BF Bowden,AD Willoughby,SJ Davis,MJ Procter,NA,NA,NA,NA,draw,NA
323947,6,Bangladesh,South Africa,male,2007/08,2008/02/22,South Africa in Bangladesh Test Series,1,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,JH Kallis,Aleem Dar,SA Bucknor,Mahabubur Rahman,AFM Akhtaruddin,RS Madugalle,South Africa,NA,5,NA,NA,NA
323948,6,Bangladesh,South Africa,male,2007/08,2008/02/29,South Africa in Bangladesh Test Series,2,Chittagong Divisional Stadium,NA,South Africa,bat,GC Smith,Aleem Dar,SA Bucknor,Tanvir Ahmed,Nadir Shah,RS Madugalle,South Africa,205,NA,1,NA,NA
300442,6,New Zealand,England,male,2007/08,2008/03/05,England in New Zealand Test Series,1,Seddon Park,Hamilton,New Zealand,bat,DL Vettori,SJ Davis,DJ Harper,KC Manley,BF Bowden,J Srinath,New Zealand,189,NA,NA,NA,NA
300443,6,New Zealand,England,male,2007/08,2008/03/13,England in New Zealand Test Series,2,Basin Reserve,Wellington,New Zealand,field,TR Ambrose,SJ Davis,RE Koertzen,JM Busby,EA Watkin,J Srinath,England,126,NA,NA,NA,NA
319132,6,West Indies,Sri Lanka,male,2007/08,2008/03/22,Sri Lanka in West Indies Test Series,1,Providence Stadium,Guyana,Sri Lanka,bat,WPUJC Vaas,BF Bowden,SJA Taufel,GE Greaves,CR Duncan,BC Broad,Sri Lanka,121,NA,NA,NA,NA
300444,6,New Zealand,England,male,2007/08,2008/03/22,England in New Zealand Test Series,3,McLean Park,Napier,England,bat,RJ Sidebottom,DJ Harper,RE Koertzen,GC Holdem,GAV Baxter,J Srinath,England,121,NA,NA,NA,NA
