Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks
SR Tendulkar ,India,1989,2012,463,452,41,18426,200,TRUE,44.832116788321166,21368,86.23174840883564,49,96,20
KC Sangakkara ,Asia/ICC/Sri Lanka,2000,2015,404,380,41,14234,169,FALSE,41.9882005899705,18048,78.86746453900709,25,93,15
V Kohli ,India,2008,2024,295,283,44,13906,183,FALSE,58.18410041841004,14866,93.54231131440872,50,72,16
RT Ponting ,Australia/ICC World XI,1995,2012,375,365,39,13704,164,FALSE,42.03680981595092,17046,80.39422738472369,30,82,20
ST Jayasuriya ,Asia/Sri Lanka,1989,2011,445,433,18,13430,189,FALSE,32.36144578313253,14725,91.20543293718167,28,68,34
DPMD Jayawardene ,Asia/Sri Lanka,1998,2015,448,418,39,12650,144,FALSE,33.37730870712401,16020,78.9637952559301,19,77,28
Inzamam-ul-Haq ,Asia/Pakistan,1991,2007,378,350,53,11739,137,TRUE,39.525252525252526,15812,74.2410827219833,10,83,20
JH Kallis ,Afr/ICC/SA,1996,2014,328,314,53,11579,139,FALSE,44.3639846743295,15885,72.89266603714196,17,86,17
SC Ganguly ,Asia/India,1992,2007,311,300,23,11363,183,FALSE,41.021660649819495,15416,73.70913336792943,22,72,16
R Dravid ,Asia/ICC/India,1996,2011,344,318,40,10889,153,FALSE,39.169064748201436,15285,71.23977755969905,12,83,13
RG Sharma ,India,2007,2024,265,257,36,10866,264,FALSE,49.16742081447964,11755,92.43726074011059,31,57,16
MS Dhoni ,Asia/India,2004,2019,350,297,84,10773,183,TRUE,50.57746478873239,12303,87.56400877834675,10,73,10
CH Gayle ,ICC/West Indies,1999,2019,301,294,17,10480,215,FALSE,37.83393501805054,12019,87.19527414926367,25,54,25
BC Lara ,ICC/West Indies,1990,2007,299,289,32,10405,169,FALSE,40.4863813229572,13086,79.51245605991136,19,63,16
TM Dilshan ,Sri Lanka,1999,2016,330,303,41,10290,161,TRUE,39.274809160305345,11933,86.2314589793011,22,47,11
Mohammad Yousuf ,Asia/Pakistan,1998,2010,288,273,40,9720,141,TRUE,41.716738197424895,12942,75.10431154381085,15,64,15
AC Gilchrist ,Australia/ICC World XI,1996,2008,287,279,11,9619,172,FALSE,35.89179104477612,9922,96.94618020560371,16,55,19
AB de Villiers ,Afr/SA,2005,2018,228,218,39,9577,176,FALSE,53.502793296089386,9473,101.09785706745487,25,53,7
M Azharuddin ,India,1985,2000,334,308,54,9378,153,TRUE,36.92125984251968,12669,74.02320625147999,7,58,9
PA de Silva ,Sri Lanka,1984,2003,308,296,30,9284,145,FALSE,34.902255639097746,11443,81.13257013021061,11,64,17
Saeed Anwar ,Pakistan,1989,2003,247,244,19,8824,194,FALSE,39.217777777777776,10938,80.67288352532455,20,43,15
S Chanderpaul ,West Indies,1994,2011,268,251,40,8778,150,FALSE,41.60189573459716,12408,70.74468085106383,11,59,6
Yuvraj Singh ,Asia/India,2000,2017,304,278,40,8701,150,FALSE,36.55882352941177,9924,87.6763401854091,14,52,18
DL Haynes ,West Indies,1978,1994,238,237,28,8648,152,TRUE,41.377990430622006,13707,63.09185087911287,17,57,13
LRPL Taylor ,New Zealand,2006,2022,236,220,39,8607,181,TRUE,47.552486187845304,10330,83.32042594385285,21,51,9
MS Atapattu ,Sri Lanka,1990,2007,268,259,32,8529,132,TRUE,37.5726872246696,12594,67.72272510719391,11,59,13
ME Waugh ,Australia,1988,2002,244,236,20,8500,173,FALSE,39.351851851851855,11053,76.9021984981453,18,50,16
Tamim Iqbal ,BAN,2007,2023,243,240,12,8357,158,FALSE,36.65350877192982,10642,78.52847209171209,14,56,19
V Sehwag ,Asia/ICC/India,1999,2013,251,245,9,8273,219,FALSE,35.05508474576271,7929,104.33850422499684,15,38,14
