Player,Country,Start,End,Matches,Innings,Balls,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets
M Muralidaran (Asia/ICC/SL),NA,1993,2011,350,341,18811,12326,534,23.082397003745317,3.931529424273032,35.22659176029963,7/30,15,10
Wasim Akram,Pakistan,1984,2003,356,351,18186,11812,502,23.529880478087648,3.8970636753546684,36.22709163346614,5/15,17,6
Waqar Younis,Pakistan,1989,2003,262,258,12698,9919,416,23.84375,4.686879823594267,30.52403846153846,7/36,14,13
WPUJC Vaas (Asia/SL),NA,1994,2008,322,320,15775,11014,400,27.535,4.1891600633914425,39.4375,8/19,9,4
Shahid Afridi (Asia/ICC/PAK),NA,1996,2015,398,372,17670,13632,395,34.51139240506329,4.628862478777589,44.734177215189874,7/12,4,9
SM Pollock (Afr/ICC/SA),NA,1996,2008,303,297,15712,9631,393,24.506361323155215,3.677825865580448,39.979643765903305,6/35,12,5
GD McGrath (AUS/ICC),NA,1993,2007,250,248,12970,8391,381,22.023622047244096,3.8817270624518123,34.041994750656166,7/15,9,7
B Lee,Australia,2000,2012,221,217,11185,8877,380,23.360526315789475,4.761913276709879,29.43421052631579,5/22,14,9
SL Malinga,Sri Lanka,2004,2019,226,220,10936,9760,338,28.875739644970412,5.3547915142648135,32.35502958579882,6/38,11,8
A Kumble (Asia/IND),NA,1990,2007,271,265,14496,10412,337,30.89614243323442,4.309602649006623,43.01483679525222,6/12,8,2
ST Jayasuriya (Asia/SL),NA,1989,2011,445,368,14874,11871,323,36.752321981424146,4.788624445340863,46.04953560371517,6/29,8,4
Shakib Al Hasan,BAN,2006,2023,247,241,12575,9360,317,29.526813880126184,4.466003976143141,39.66876971608833,5/29,10,4
J Srinath,India,1991,2003,229,227,11935,8847,315,28.085714285714285,4.447591118558861,37.888888888888886,5/23,7,3
DL Vettori (ICC/NZ),NA,1997,2015,295,277,14060,9674,305,31.718032786885246,4.128307254623044,46.09836065573771,5/7,8,2
SK Warne (AUS/ICC),NA,1993,2005,194,191,10642,7541,293,25.737201365187712,4.251644427739147,36.32081911262799,5/33,12,1
AB Agarkar,India,1998,2007,191,188,9484,8021,288,27.850694444444443,5.074441164065795,32.93055555555556,6/42,10,2
Saqlain Mushtaq,Pakistan,1995,2003,169,165,8770,6275,288,21.788194444444443,4.293044469783352,30.45138888888889,5/20,11,6
Z Khan (Asia/IND),NA,2000,2012,200,197,10097,8301,282,29.43617021276596,4.9327523026641575,35.804964539007095,5/42,7,1
JH Kallis (Afr/ICC/SA),NA,1996,2014,328,283,10750,8680,273,31.794871794871796,4.844651162790697,39.37728937728938,5/30,2,2
AA Donald,South Africa,1991,2003,164,162,8561,5926,272,21.78676470588235,4.153253124634973,31.47426470588235,6/23,11,2
Mashrafe Mortaza (Asia/BAN),NA,2001,2020,220,220,10922,8893,270,32.93703703703704,4.885368980040286,40.45185185185185,6/26,7,1
Abdul Razzaq (Asia/PAK),NA,1996,2011,265,254,10941,8564,269,31.8364312267658,4.6964628461749385,40.6728624535316,6/35,8,3
JM Anderson,England,2002,2015,194,191,9584,7861,269,29.223048327137548,4.921327212020033,35.62825278810409,5/23,11,2
Harbhajan Singh (Asia/IND),NA,1998,2015,236,227,12479,8973,269,33.35687732342007,4.314288003846462,46.39033457249071,5/31,2,3
M Ntini (ICC/SA),NA,1998,2009,173,171,8687,6559,266,24.657894736842106,4.530217566478647,32.6578947368421,6/22,8,4
N Kapil Dev,India,1978,1994,225,221,11202,6945,253,27.450592885375492,3.719871451526513,44.276679841897234,5/43,3,1
Shoaib Akhtar (Asia/ICC/PAK),NA,1998,2011,163,162,7764,6169,247,24.975708502024293,4.767387944358578,31.4331983805668,6/16,6,4
MA Starc,Australia,2010,2024,127,127,6512,5711,244,23.40573770491803,5.2619778869778875,26.688524590163933,6/28,12,9
KD Mills,New Zealand,2001,2015,170,169,8230,6485,240,27.020833333333332,4.72782503037667,34.291666666666664,5/25,8,1
MG Johnson,Australia,2005,2015,153,150,7489,6038,239,25.263598326359833,4.837494992655895,31.334728033472803,6/31,9,3
HH Streak (Afr/ZIM),NA,1993,2005,189,185,9468,7129,239,29.828451882845187,4.517743979721166,39.61506276150627,5/32,7,1
D Gough (ENG/ICC),NA,1994,2006,159,156,8470,6209,235,26.42127659574468,4.398347107438016,36.04255319148936,5/44,10,2
CA Walsh,West Indies,1985,2000,205,204,10822,6918,227,30.475770925110133,3.835520236555165,47.67400881057269,5/1,6,1
CEL Ambrose,West Indies,1988,2000,176,175,9353,5429,225,24.128888888888888,3.482732813001176,41.568888888888885,5/17,6,4
TG Southee,New Zealand,2008,2023,161,159,8075,7448,221,33.70135746606335,5.534117647058824,36.53846153846154,7/33,5,3
RA Jadeja,India,2009,2023,197,189,9750,7936,220,36.07272727272727,4.883692307692308,44.31818181818182,5/33,7,2
TA Boult,New Zealand,2012,2023,114,113,6180,5146,211,24.38862559241706,4.996116504854369,29.28909952606635,7/34,10,6
Abdur Razzak,BAN,2004,2014,153,152,7965,6065,207,29.29951690821256,4.568738229755179,38.47826086956522,5/29,5,4
AU Rashid,England,2009,2024,143,137,7175,6723,205,32.795121951219514,5.622020905923345,35,5/27,8,2
CZ Harris,New Zealand,1990,2004,250,232,10667,7613,203,37.50246305418719,4.28217868191619,52.54679802955665,5/42,2,1
