Player,Country,Start,End,Matches,Innings,Dismissals,Caught,CaughtFielder,CaughtBehind,Stumped,MaxDismissalsInnings
KC Sangakkara (Asia/ICC/SL),NA,2000,2015,404,397,501,402,19,383,99,5
AC Gilchrist (AUS/ICC),NA,1996,2008,287,286,472,417,0,417,55,6
MS Dhoni (Asia/IND),NA,2004,2019,350,345,444,321,0,321,123,6
MV Boucher (Afr/SA),NA,1998,2011,295,291,425,403,1,402,22,6
Mushfiqur Rahim ,BAN,2006,2024,272,270,298,242,2,240,56,5
Moin Khan ,Pakistan,1990,2004,219,217,287,214,0,214,73,5
BB McCullum ,New Zealand,2002,2016,260,257,277,262,35,227,15,5
JC Buttler ,England,2012,2023,181,177,258,221,0,221,37,6
IA Healy ,Australia,1988,1997,168,168,233,194,0,194,39,4
Q de Kock ,South Africa,2013,2023,155,149,226,209,0,209,17,6
Rashid Latif ,Pakistan,1992,2003,166,164,220,182,0,182,38,5
DPMD Jayawardene (Asia/SL),NA,1998,2015,448,443,218,218,218,0,0,4
R Dravid (Asia/ICC/IND),NA,1996,2011,344,341,210,196,124,72,14,4
RS Kaluwitharana ,Sri Lanka,1990,2004,189,188,207,132,1,131,75,5
PJL Dujon ,West Indies,1981,1991,169,168,204,183,0,183,21,4
RD Jacobs ,West Indies,1996,2004,147,145,189,160,0,160,29,6
Kamran Akmal ,Pakistan,2002,2017,157,154,188,157,1,156,31,5
D Ramdin ,West Indies,2005,2016,139,137,188,181,0,181,7,5
AB de Villiers (Afr/SA),NA,2005,2018,228,223,181,176,83,93,5,5
BJ Haddin ,Australia,2001,2015,126,124,181,170,0,170,11,5
AJ Stewart ,England,1989,2003,170,169,174,159,11,148,15,6
A Flower ,Zimbabwe,1992,2003,213,212,173,141,8,133,32,5
DJ Richardson ,South Africa,1991,1998,122,121,165,148,0,148,17,5
BRM Taylor ,Zimbabwe,2004,2021,205,205,162,133,31,102,29,5
RT Ponting (AUS/ICC),NA,1995,2012,375,372,160,160,160,0,0,3
M Azharuddin ,India,1985,2000,334,332,156,156,156,0,0,4
NR Mongia ,India,1994,2000,140,139,154,110,0,110,44,5
V Kohli ,India,2008,2024,295,292,152,152,152,0,0,3
SD Hope ,West Indies,2016,2024,130,127,148,135,0,135,13,5
T Taibu (Afr/ZIM),NA,2001,2012,150,150,147,114,2,112,33,4
Sarfaraz Ahmed ,Pakistan,2007,2021,117,115,143,119,0,119,24,6
LRPL Taylor ,New Zealand,2006,2022,236,232,142,142,142,0,0,4
AC Parore ,New Zealand,1992,2002,179,178,141,116,5,111,25,5
TWM Latham ,New Zealand,2012,2023,147,145,140,125,31,94,15,5
SR Tendulkar ,India,1989,2012,463,456,140,140,140,0,0,4
Younis Khan ,Pakistan,2000,2015,265,260,135,135,130,5,0,4
MH Cross ,Scotland,2014,2024,101,99,134,125,0,125,9,6
SP Fleming (ICC/NZ),NA,1994,2007,280,276,133,133,133,0,0,4
JH Kallis (Afr/ICC/SA),NA,1996,2014,328,324,131,131,131,0,0,3
M Muralidaran (Asia/ICC/SL),NA,1993,2011,350,347,130,130,130,0,0,3
AR Border ,Australia,1979,1994,273,270,127,127,127,0,0,3
Shahid Afridi (Asia/ICC/PAK),NA,1996,2015,398,392,127,127,127,0,0,2
Khaled Mashud ,BAN,1995,2006,126,126,126,91,0,91,35,5
TM Dilshan ,Sri Lanka,1999,2016,330,325,124,123,118,5,1,3
CH Gayle (ICC/WI),NA,1999,2019,301,294,124,124,124,0,0,3
RW Marsh ,Australia,1971,1984,92,92,124,120,0,120,4,5
ST Jayasuriya (Asia/SL),NA,1989,2011,445,441,123,123,123,0,0,3
CL Hooper ,West Indies,1987,2003,227,225,120,120,120,0,0,4
BC Lara (ICC/WI),NA,1990,2007,299,296,120,120,120,0,0,3
L Ronchi (AUS/NZ),NA,2008,2017,85,83,117,105,0,105,12,4
MS Wade ,Australia,2012,2021,97,97,117,108,0,108,9,5
Inzamam-ul-Haq (Asia/PAK),NA,1991,2007,378,373,113,113,113,0,0,3
SR Waugh ,Australia,1986,2002,325,324,111,111,111,0,0,3
RS Mahanama ,Sri Lanka,1986,1999,213,212,109,109,109,0,0,3
PD Collingwood ,England,2001,2011,197,197,108,108,108,0,0,3
HH Gibbs ,South Africa,1996,2010,248,246,108,108,108,0,0,3
SM Pollock (Afr/ICC/SA),NA,1996,2008,303,300,108,108,108,0,0,2
ME Waugh ,Australia,1988,2002,244,243,108,108,108,0,0,3
MJ Clarke ,Australia,2003,2015,245,243,106,106,106,0,0,4
MEK Hussey ,Australia,2004,2012,185,184,105,105,105,0,0,3
BKG Mendis ,Sri Lanka,2016,2024,138,137,105,93,39,54,12,3
JN Rhodes ,South Africa,1992,2003,245,242,105,105,105,0,0,5
GC Smith (Afr/SA),NA,2002,2013,197,196,105,105,105,0,0,4
MJ Guptill ,New Zealand,2009,2022,198,196,104,104,104,0,0,4
NJ O'Brien ,Ireland,2006,2018,103,99,104,90,8,82,14,5
Saleem Yousuf ,Pakistan,1982,1990,86,86,103,81,0,81,22,4
SK Raina ,India,2005,2018,226,223,102,102,102,0,0,3
SC Ganguly (Asia/IND),NA,1992,2007,311,309,100,100,100,0,0,3
