Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
RG Sharma ,India,2007,2024,159,151,19,4231,121,TRUE,32.053030303030305,3003,140.89244089244087,5,32,12,383,205
Babar Azam ,Pakistan,2016,2024,126,119,15,4192,122,FALSE,40.30769230769231,3244,129.22318125770653,3,36,6,444,72
V Kohli ,India,2010,2024,125,117,31,4188,122,TRUE,48.69767441860465,3056,137.04188481675394,1,38,7,369,124
PR Stirling ,Ireland,2009,2024,147,146,11,3655,115,TRUE,27.074074074074073,2710,134.8708487084871,1,24,13,425,129
MJ Guptill ,New Zealand,2009,2022,122,118,7,3531,105,FALSE,31.81081081081081,2602,135.7033051498847,2,20,3,309,173
JC Buttler ,England,2011,2024,129,118,23,3389,101,TRUE,35.67368421052632,2305,147.0281995661605,1,25,8,310,146
Mohammad Rizwan ,Pakistan,2015,2024,104,91,21,3329,104,TRUE,47.55714285714286,2648,125.71752265861026,1,29,5,279,92
DA Warner ,Australia,2009,2024,110,110,12,3277,100,TRUE,33.43877551020408,2300,142.47826086956522,1,28,6,337,122
AJ Finch ,Australia,2011,2022,103,103,12,3120,172,FALSE,34.285714285714285,2189,142.53083599817268,2,19,8,309,125
GJ Maxwell ,Australia,2012,2024,116,106,17,2664,145,TRUE,29.93258426966292,1719,154.9738219895288,5,11,4,224,137
Q de Kock ,South Africa,2012,2024,92,91,9,2584,100,FALSE,31.51219512195122,1868,138.32976445396145,1,16,7,264,103
KS Williamson ,New Zealand,2011,2024,93,90,13,2575,95,FALSE,33.44155844155844,2092,123.08795411089865,0,18,4,245,58
SA Yadav ,India,2021,2024,78,74,11,2570,117,FALSE,40.79365079365079,1531,167.86414108425865,4,21,3,233,145
Shakib Al Hasan ,BAN,2006,2024,129,127,17,2551,84,FALSE,23.19090909090909,2105,121.187648456057,0,13,9,258,53
Mohammad Hafeez ,Pakistan,2006,2021,119,108,13,2514,99,TRUE,26.463157894736842,2060,122.03883495145631,0,14,7,251,76
DA Miller ,South Africa/World XI,2010,2024,129,113,36,2509,106,TRUE,32.58441558441559,1802,139.23418423973365,2,7,3,164,122
EJG Morgan ,England,2009,2022,115,107,21,2458,91,FALSE,28.58139534883721,1805,136.17728531855954,0,14,3,186,120
Mahmudullah ,BAN,2007,2024,141,130,26,2444,64,TRUE,23.5,2082,117.38712776176754,0,8,5,184,77
Virandeep Singh ,MAS,2019,2024,84,82,16,2441,116,TRUE,36.984848484848484,1937,126.01961796592668,1,16,5,203,104
Shoaib Malik ,ICC/Pakistan,2006,2021,124,111,33,2435,75,FALSE,31.21794871794872,1938,125.64499484004128,0,9,2,196,69
A Balbirnie ,Ireland,2015,2024,110,106,4,2392,83,FALSE,23.45098039215686,1941,123.23544564657394,0,12,6,254,68
Syed Aziz ,MAS,2019,2024,90,88,15,2283,126,FALSE,31.273972602739725,1589,143.67526746381373,1,17,6,215,112
KL Rahul ,India,2016,2022,72,68,8,2265,110,TRUE,37.75,1628,139.12776412776412,2,22,5,191,99
N Pooran ,West Indies,2016,2024,103,94,10,2254,98,FALSE,26.833333333333332,1644,137.10462287104625,0,13,3,149,148
Sikandar Raza ,Zimbabwe,2013,2024,96,91,7,2236,133,TRUE,26.61904761904762,1617,138.28076685219543,1,14,7,167,114
RD Berrington ,Scotland,2008,2024,97,88,17,2230,100,FALSE,31.408450704225352,1696,131.48584905660377,1,10,10,189,76
Muhammad Waseem ,United Arab Emirates,2021,2024,61,61,4,2213,112,FALSE,38.824561403508774,1420,155.8450704225352,3,16,4,178,139
Mohammad Nabi ,Afghanistan,2010,2024,129,121,24,2165,89,FALSE,22.31958762886598,1590,136.16352201257862,0,6,8,148,108
RR Hendricks ,South Africa,2014,2024,76,75,2,2146,87,FALSE,29.397260273972602,1652,129.90314769975785,0,17,5,242,53
BB McCullum ,New Zealand,2005,2015,71,70,10,2140,123,FALSE,35.666666666666664,1571,136.21896880967537,2,13,3,199,91
S Ssesazi ,UGA,2021,2024,82,80,10,2081,100,TRUE,29.728571428571428,1689,123.20899940793369,1,16,8,225,67
HG Munsey ,Scotland,2015,2024,74,72,5,2078,132,FALSE,31.01492537313433,1441,144.205412907703,2,11,5,233,93
AD Hales ,England,2011,2022,75,75,8,2074,116,TRUE,30.955223880597014,1499,138.35890593729152,1,12,5,225,70
Nizakat Khan ,Hong Kong,2014,2024,99,96,6,2053,81,FALSE,22.81111111111111,1669,123.00778909526662,0,10,8,169,68
Mohammad Shahzad ,Afghanistan,2010,2023,73,73,3,2048,118,TRUE,29.257142857142856,1550,132.1290322580645,1,12,4,229,76
MP O'Dowd ,NED,2015,2024,77,75,5,2034,133,TRUE,29.057142857142857,1687,120.56905749851808,1,14,1,209,49
Litton Das ,BAN,2015,2024,92,90,3,2003,83,FALSE,23.022988505747126,1595,125.57993730407524,0,11,5,207,58
KJ O'Brien ,Ireland,2008,2021,110,103,10,1973,124,FALSE,21.21505376344086,1507,130.92236230922362,1,5,12,165,82
JP Duminy ,South Africa,2007,2019,81,75,25,1934,96,TRUE,38.68,1532,126.2402088772846,0,11,6,138,71
