Player,Country,Start,End,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets
TG Southee,New Zealand,2008,2024,126,123,458.5,7,3671,164,22.384146341463413,8.000726480203415,16.786585365853657,5/18,2,2
Rashid Khan (AFG/ICC),NA,2015,2024,93,93,353.2,1,2149,152,14.138157894736842,6.082075471698113,13.947368421052632,5/3,7,2
Shakib Al Hasan,BAN,2006,2024,129,126,457.3,3,3117,149,20.91946308724832,6.81311475409836,18.42281879194631,5/20,6,2
IS Sodhi,New Zealand,2014,2024,119,114,402.3,0,3214,138,23.28985507246377,7.985093167701863,17.5,4/28,3,0
Mustafizur Rahman,BAN,2015,2024,106,105,379.4,8,2854,132,21.62121212121212,7.5171202809482,17.257575757575758,6/10,3,2
MR Adair,Ireland,2019,2024,88,88,316.2,2,2437,127,19.188976377952756,7.7038988408851425,14.94488188976378,4/13,4,0
AU Rashid,England,2009,2024,119,114,416.2,5,3058,126,24.26984126984127,7.34507606084868,19.825396825396826,4/2,3,0
PW Hasaranga,Sri Lanka,2019,2024,76,74,277,2,1920,125,15.36,6.931407942238267,13.296,4/9,4,0
SO Ngoche,Kenya,2010,2024,98,95,329.4,14,1936,117,16.54700854700855,5.872598584428717,16.905982905982903,4/14,3,0
MJ Santner,New Zealand,2015,2024,106,104,367,2,2577,117,22.025641025641026,7.021798365122616,18.82051282051282,4/11,3,0
A Zampa,Australia,2016,2024,95,94,342.5,1,2458,117,21.00854700854701,7.169664560038892,17.581196581196583,5/19,2,1
Ehsan Khan,Hong Kong,2016,2024,78,77,281.5,4,1710,114,15,6.067415730337079,14.833333333333334,4/5,5,0
Bilal Khan,OMA,2015,2024,79,78,283,7,1919,110,17.445454545454545,6.780918727915195,15.436363636363636,4/19,3,0
CJ Jordan,England,2014,2024,95,94,325.3,2,2847,108,26.36111111111111,8.746543778801843,18.083333333333332,4/6,4,0
S Lamichhane (ICC/NEP),NA,2018,2024,58,58,219.5,7,1352,108,12.518518518518519,6.150113722517058,12.212962962962964,5/9,2,1
Haris Rauf,Pakistan,2020,2024,75,73,270.4,1,2213,107,20.682242990654206,8.176108374384238,15.177570093457941,4/18,4,0
SL Malinga,Sri Lanka,2006,2020,84,83,299.5,1,2225,107,20.794392523364486,7.420789327404114,16.813084112149532,5/6,1,2
Shadab Khan,Pakistan,2017,2024,104,96,348.1,3,2522,107,23.570093457943926,7.243657252273815,19.523364485981308,4/8,3,0
Shahid Afridi (ICC/PAK),NA,2006,2018,99,97,361.2,4,2396,98,24.448979591836736,6.6309963099631,22.122448979591837,4/11,3,0
Karan KC,NEP,2015,2024,75,75,245,6,1902,97,19.608247422680414,7.763265306122449,15.154639175257731,5/21,3,1
Shaheen Shah Afridi,Pakistan,2018,2024,73,73,264.4,2,2065,97,21.288659793814432,7.802267002518893,16.371134020618555,4/22,2,0
YS Chahal,India,2016,2023,80,79,294,2,2409,96,25.09375,8.193877551020408,18.375,6/25,2,1
Mohammad Nabi,Afghanistan,2010,2024,129,120,368.4,5,2704,96,28.166666666666668,7.334538878842676,23.041666666666668,4/10,3,0
H Ssenyondo,UGA,2019,2024,80,76,262.4,9,1424,96,14.833333333333334,5.421319796954315,16.416666666666664,4/4,7,0
Arshdeep Singh,India,2022,2024,60,60,206.4,2,1720,95,18.105263157894736,8.32258064516129,13.052631578947368,4/9,2,0
Aizaz Khan,Hong Kong,2014,2024,85,78,247.5,4,1927,92,20.945652173913043,7.775386684599865,16.16304347826087,4/26,2,0
B Kumar,India,2012,2022,87,86,298.3,10,2079,90,23.1,6.964824120603015,19.9,5/4,3,2
JJ Bumrah,India,2016,2024,70,69,251.3,12,1579,89,17.741573033707866,6.278330019880715,16.95505617977528,3/7,0,0
HH Pandya,India,2016,2024,109,97,289.5,4,2370,89,26.629213483146067,8.177113283496263,19.53932584269663,4/16,3,0
T Shamsi,South Africa,2017,2024,70,70,251.3,1,1860,89,20.89887640449438,7.395626242544732,16.95505617977528,5/24,3,1
Saeed Ajmal,Pakistan,2009,2015,64,63,238.2,2,1516,85,17.83529411764706,6.360839160839161,16.823529411764707,4/19,4,0
Umar Gul,Pakistan,2007,2016,60,60,200.3,2,1443,85,16.976470588235294,7.197007481296758,14.152941176470588,5/6,4,2
TA Boult,New Zealand,2013,2024,61,61,231.3,4,1779,83,21.433734939759034,7.684665226781857,16.734939759036145,4/13,2,0
GH Dockrell,Ireland,2010,2024,141,93,266.2,1,1905,83,22.951807228915662,7.152690863579475,19.253012048192772,4/20,1,0
M Akayezu,RWN,2021,2024,80,70,207.2,3,1674,82,20.414634146341463,8.07395498392283,15.170731707317072,4/9,3,0
PA van Meekeren,NED,2013,2024,71,69,237.3,4,1664,82,20.29268292682927,7.0063157894736845,17.378048780487806,4/11,2,0
MRJ Watt,Scotland,2015,2024,70,67,242.1,4,1700,82,20.73170731707317,7.019958706125259,17.71951219512195,5/27,2,1
MA Starc,Australia,2012,2024,65,65,243,2,1881,79,23.810126582278482,7.7407407407407405,18.455696202531644,4/20,1,0
DJ Bravo,West Indies,2006,2021,91,77,250.5,0,2036,78,26.102564102564102,8.116943521594685,19.294871794871796,4/19,3,0
Junaid Siddique,United Arab Emirates,2019,2024,63,63,233.5,3,1748,78,22.41025641025641,7.475409836065573,17.987179487179485,4/12,3,0
JB Little,Ireland,2016,2024,69,68,254.2,2,1910,78,24.487179487179485,7.509829619921363,19.564102564102566,4/23,2,0
Pavandeep Singh,MAS,2019,2024,65,65,241.5,7,1397,78,17.91025641025641,5.77670572019297,18.602564102564102,4/16,1,0
AR Ramjani,UGA,2022,2024,45,43,148.1,8,721,76,9.486842105263158,4.866141732283465,11.697368421052632,4/9,3,0
SM Sharif,Scotland,2012,2024,69,68,231.4,1,1880,76,24.736842105263158,8.115107913669066,18.289473684210527,4/24,2,0
Sikandar Raza,Zimbabwe,2013,2024,96,84,241.2,3,1682,76,22.13157894736842,6.969613259668508,19.05263157894737,5/18,2,1
CA Young,Ireland,2015,2024,66,64,219.2,1,1766,76,23.236842105263158,8.051671732522797,17.31578947368421,4/13,2,0
A Bohara,NEP,2019,2024,62,59,201.4,2,1478,75,19.706666666666667,7.3289256198347115,16.133333333333333,6/11,2,1
Taskin Ahmed,BAN,2014,2024,70,68,242.5,4,1835,75,24.466666666666665,7.55662319835278,19.426666666666666,4/16,2,0
K Irakoze,RWN,2021,2024,75,72,216,5,1416,74,19.135135135135137,6.555555555555555,17.513513513513512,4/20,3,0
Vraj Patel,Kenya,2021,2024,53,52,189,8,1007,74,13.608108108108109,5.328042328042328,15.324324324324325,5/12,1,1
Imad Wasim,Pakistan,2015,2024,75,74,256,4,1588,73,21.753424657534246,6.203125,21.041095890410958,5/14,1,1
