Player,Country,Start,End,Matches,Innings,Dismissals,Caught,CaughtFielder,CaughtBehind,Stumped,MaxDismissalsInnings
Q de Kock ,South Africa,2012,2024,92,92,102,84,0,84,18,4
MS Dhoni ,India,2006,2019,98,97,91,57,0,57,34,5
IA Karim ,Kenya,2013,2024,64,62,89,64,2,62,25,5
JC Buttler ,England,2011,2024,129,128,87,74,7,67,13,3
DA Miller (SA/World),NA,2010,2024,129,129,83,82,81,1,1,4
AB de Villiers ,South Africa,2006,2017,78,78,72,65,44,21,7,4
Mushfiqur Rahim ,BAN,2006,2022,102,100,72,42,10,32,30,3
Mohammad Nabi ,Afghanistan,2010,2024,129,129,70,70,70,0,0,3
N Pooran ,West Indies,2016,2024,103,98,70,62,10,52,8,3
MJ Guptill ,New Zealand,2009,2022,122,121,68,68,68,0,0,3
GH Dockrell ,Ireland,2010,2024,141,138,65,65,65,0,0,3
SA Edwards ,NED,2018,2024,71,70,65,57,0,57,8,3
Mohammad Rizwan ,Pakistan,2015,2024,104,104,65,54,8,46,11,3
RG Sharma ,India,2007,2024,159,159,65,65,65,0,0,3
TG Southee ,New Zealand,2008,2024,126,124,65,65,65,0,0,2
MS Wade ,Australia,2011,2024,92,92,64,58,0,58,6,3
D Ndikubwimana ,RWN,2021,2024,73,72,63,52,3,49,11,4
D Ramdin ,West Indies,2006,2019,71,71,63,43,0,43,20,4
DA Warner ,Australia,2009,2024,110,110,62,62,62,0,0,3
Mohammad Shahzad ,Afghanistan,2010,2023,73,72,61,33,0,33,28,5
Kamran Akmal ,Pakistan,2006,2017,58,58,60,28,0,28,32,4
Litton Das ,BAN,2015,2024,92,91,60,52,29,23,8,3
MH Cross ,Scotland,2013,2024,76,73,59,43,0,43,16,4
LJ Tucker ,Ireland,2016,2024,74,74,59,54,10,44,5,3
ZE Green ,Namibia,2019,2024,61,60,54,47,0,47,7,4
V Kohli ,India,2010,2024,125,124,54,54,54,0,0,3
HH Pandya ,India,2016,2024,109,108,54,54,54,0,0,3
Babar Azam ,Pakistan,2016,2024,126,126,52,52,52,0,0,2
GJ Maxwell ,Australia,2012,2024,116,115,52,52,52,0,0,4
GD Phillips ,New Zealand,2017,2024,80,78,52,50,43,7,2,4
HT Tector ,Ireland,2019,2024,81,81,52,52,52,0,0,4
Umar Akmal ,Pakistan,2009,2019,84,84,52,50,39,11,2,3
Mahmudullah ,BAN,2007,2024,141,138,51,51,51,0,0,3
RR Pant ,India,2017,2024,76,74,51,40,2,38,11,3
Fakhar Zaman ,Pakistan,2017,2024,92,92,50,50,50,0,0,3
AJ Finch ,Australia,2011,2022,103,102,50,50,50,0,0,3
RR Patel ,Kenya,2008,2024,82,82,50,50,50,0,0,3
Shoaib Malik (ICC/PAK),NA,2006,2021,124,124,50,50,50,0,0,3
Nizakat Khan ,Hong Kong,2014,2024,99,98,49,49,49,0,0,3
CJ Jordan ,England,2014,2024,95,94,48,48,48,0,0,3
Muhammad Waseem ,United Arab Emirates,2021,2024,61,61,48,48,48,0,0,3
JM Bairstow ,England,2011,2024,80,79,47,46,34,12,1,2
GC Wilson ,Ireland,2008,2020,81,79,47,40,11,29,7,4
EJG Morgan ,England,2009,2022,115,114,46,46,46,0,0,3
