team1,team2,date,winner,winner_wickets,winner_runs
Australia,India,2008-01-02,Australia,NA,122
South Africa,West Indies,2008-01-02,South Africa,7,NA
New Zealand,Bangladesh,2008-01-04,New Zealand,9,NA
South Africa,West Indies,2008-01-10,South Africa,NA,100
New Zealand,Bangladesh,2008-01-12,New Zealand,NA,137
Australia,India,2008-01-24,NA,NA,NA
Bangladesh,South Africa,2008-02-22,South Africa,5,NA
Bangladesh,South Africa,2008-02-29,South Africa,NA,205
New Zealand,England,2008-03-05,New Zealand,NA,189
New Zealand,England,2008-03-13,England,NA,126
West Indies,Sri Lanka,2008-03-22,Sri Lanka,NA,121
New Zealand,England,2008-03-22,England,NA,121
India,South Africa,2008-03-26,NA,NA,NA
India,South Africa,2008-04-03,South Africa,NA,90
West Indies,Sri Lanka,2008-04-03,West Indies,6,NA
India,South Africa,2008-04-11,India,8,NA
England,New Zealand,2008-05-15,NA,NA,NA
West Indies,Australia,2008-05-22,Australia,NA,95
England,New Zealand,2008-05-23,England,6,NA
West Indies,Australia,2008-05-30,NA,NA,NA
England,New Zealand,2008-06-05,England,NA,9
West Indies,Australia,2008-06-12,Australia,NA,87
England,South Africa,2008-07-10,NA,NA,NA
England,South Africa,2008-07-18,South Africa,10,NA
Sri Lanka,India,2008-07-23,Sri Lanka,NA,239
England,South Africa,2008-07-30,South Africa,5,NA
Sri Lanka,India,2008-07-31,India,NA,170
England,South Africa,2008-08-07,England,6,NA
Sri Lanka,India,2008-08-08,Sri Lanka,8,NA
India,Australia,2008-10-09,NA,NA,NA
India,Australia,2008-10-17,India,NA,320
Bangladesh,New Zealand,2008-10-25,NA,NA,NA
India,Australia,2008-10-29,NA,NA,NA
India,Australia,2008-11-06,India,NA,172
South Africa,Bangladesh,2008-11-19,South Africa,NA,129
South Africa,Bangladesh,2008-11-26,South Africa,NA,48
Australia,New Zealand,2008-11-28,Australia,NA,62
India,England,2008-12-11,India,6,NA
Australia,South Africa,2008-12-17,South Africa,6,NA
India,England,2008-12-19,NA,NA,NA
Australia,South Africa,2008-12-26,South Africa,9,NA
Australia,South Africa,2009-01-03,Australia,NA,103
Bangladesh,Sri Lanka,2009-01-03,Sri Lanka,NA,465
West Indies,England,2009-02-04,West Indies,NA,23
West Indies,England,2009-02-13,NA,NA,NA
West Indies,England,2009-02-15,NA,NA,NA
Pakistan,Sri Lanka,2009-02-21,NA,NA,NA
West Indies,England,2009-02-26,NA,NA,NA
South Africa,Australia,2009-02-26,Australia,NA,162
Pakistan,Sri Lanka,2009-03-01,NA,NA,NA
West Indies,England,2009-03-06,NA,NA,NA
South Africa,Australia,2009-03-06,Australia,NA,175
New Zealand,India,2009-03-18,India,10,NA
South Africa,Australia,2009-03-19,South Africa,NA,20
New Zealand,India,2009-03-26,NA,NA,NA
New Zealand,India,2009-04-03,NA,NA,NA
England,West Indies,2009-05-06,England,10,NA
England,West Indies,2009-05-14,England,NA,83
Sri Lanka,Pakistan,2009-07-04,Sri Lanka,NA,50
England,Australia,2009-07-08,NA,NA,NA
West Indies,Bangladesh,2009-07-09,Bangladesh,NA,95
Sri Lanka,Pakistan,2009-07-12,Sri Lanka,7,NA
England,Australia,2009-07-16,England,NA,115
West Indies,Bangladesh,2009-07-17,Bangladesh,4,NA
Sri Lanka,Pakistan,2009-07-20,NA,NA,NA
England,Australia,2009-07-30,NA,NA,NA
England,Australia,2009-08-07,Australia,NA,80
Sri Lanka,New Zealand,2009-08-18,Sri Lanka,NA,202
England,Australia,2009-08-20,England,NA,197
Sri Lanka,New Zealand,2009-08-26,Sri Lanka,NA,96
India,Sri Lanka,2009-11-16,NA,NA,NA
India,Sri Lanka,2009-11-24,India,NA,144
Australia,West Indies,2009-11-26,Australia,NA,65
India,Sri Lanka,2009-12-02,India,NA,24
New Zealand,Pakistan,2009-12-03,Pakistan,NA,141
Australia,West Indies,2009-12-04,NA,NA,NA
New Zealand,Pakistan,2009-12-11,NA,NA,NA
South Africa,England,2009-12-16,NA,NA,NA
Australia,West Indies,2009-12-16,Australia,NA,35
South Africa,England,2009-12-26,England,NA,98
Australia,Pakistan,2009-12-26,Australia,NA,170
Australia,Pakistan,2010-01-03,Australia,NA,36
South Africa,England,2010-01-14,South Africa,NA,74
Australia,Pakistan,2010-01-14,Australia,NA,231
Bangladesh,India,2010-01-24,India,10,NA
India,South Africa,2010-02-06,South Africa,NA,6
India,South Africa,2010-02-14,India,NA,57
New Zealand,Bangladesh,2010-02-15,New Zealand,NA,121
Bangladesh,England,2010-03-12,England,NA,181
New Zealand,Australia,2010-03-19,Australia,10,NA
Bangladesh,England,2010-03-20,England,9,NA
New Zealand,Australia,2010-03-27,Australia,NA,176
England,Bangladesh,2010-06-04,England,NA,80
West Indies,South Africa,2010-06-10,South Africa,NA,163
West Indies,South Africa,2010-06-18,NA,NA,NA
West Indies,South Africa,2010-06-26,South Africa,7,NA
Australia,Pakistan,2010-07-13,Australia,NA,150
Sri Lanka,India,2010-07-18,Sri Lanka,10,NA
Australia,Pakistan,2010-07-21,Pakistan,3,NA
Sri Lanka,India,2010-07-26,NA,NA,NA
England,Pakistan,2010-07-29,England,NA,354
Sri Lanka,India,2010-08-03,India,5,NA
England,Pakistan,2010-08-06,England,9,NA
England,Pakistan,2010-08-18,Pakistan,4,NA
England,Pakistan,2010-08-26,England,NA,225
India,Australia,2010-10-09,India,7,NA
India,New Zealand,2010-11-04,NA,NA,NA
India,New Zealand,2010-11-12,NA,NA,NA
Pakistan,South Africa,2010-11-12,NA,NA,NA
India,New Zealand,2010-11-20,India,NA,198
Pakistan,South Africa,2010-11-20,NA,NA,NA
Sri Lanka,West Indies,2010-11-23,NA,NA,NA
Australia,England,2010-11-25,NA,NA,NA
Sri Lanka,West Indies,2010-12-01,NA,NA,NA
Australia,England,2010-12-03,England,NA,71
South Africa,India,2010-12-16,South Africa,NA,25
Australia,England,2010-12-16,Australia,NA,267
South Africa,India,2010-12-26,India,NA,87
Australia,England,2010-12-26,England,NA,157
South Africa,India,2011-01-02,NA,NA,NA
Australia,England,2011-01-03,England,NA,83
New Zealand,Pakistan,2011-01-07,Pakistan,10,NA
New Zealand,Pakistan,2011-01-15,NA,NA,NA
West Indies,Pakistan,2011-05-12,West Indies,NA,40
West Indies,Pakistan,2011-05-20,Pakistan,NA,196
England,Sri Lanka,2011-05-26,England,NA,14
England,Sri Lanka,2011-06-03,NA,NA,NA
England,Sri Lanka,2011-06-16,NA,NA,NA
West Indies,India,2011-06-20,India,NA,63
West Indies,India,2011-06-28,NA,NA,NA
West Indies,India,2011-07-06,NA,NA,NA
England,India,2011-07-21,England,NA,196
England,India,2011-07-29,England,NA,319
Zimbabwe,Bangladesh,2011-08-04,Zimbabwe,NA,130
England,India,2011-08-10,England,NA,242
England,India,2011-08-18,England,NA,8
Sri Lanka,Australia,2011-08-31,Australia,NA,125
Zimbabwe,Pakistan,2011-09-01,Pakistan,7,NA
Sri Lanka,Australia,2011-09-08,NA,NA,NA
Sri Lanka,Australia,2011-09-16,NA,NA,NA
Pakistan,Sri Lanka,2011-10-18,NA,NA,NA
Pakistan,Sri Lanka,2011-10-26,Pakistan,9,NA
Bangladesh,West Indies,2011-10-29,West Indies,NA,229
Zimbabwe,New Zealand,2011-11-01,New Zealand,NA,34
Pakistan,Sri Lanka,2011-11-03,NA,NA,NA
India,West Indies,2011-11-06,India,5,NA
South Africa,Australia,2011-11-09,South Africa,8,NA
India,West Indies,2011-11-14,India,NA,15
South Africa,Australia,2011-11-17,Australia,2,NA
India,West Indies,2011-11-22,NA,NA,NA
Australia,New Zealand,2011-12-01,Australia,9,NA
Bangladesh,Pakistan,2011-12-09,Pakistan,NA,184
Australia,New Zealand,2011-12-09,New Zealand,NA,7
South Africa,Sri Lanka,2011-12-15,South Africa,NA,81
Bangladesh,Pakistan,2011-12-17,Pakistan,7,NA
South Africa,Sri Lanka,2011-12-26,Sri Lanka,NA,208
Australia,India,2011-12-26,Australia,NA,122
South Africa,Sri Lanka,2012-01-03,South Africa,10,NA
Australia,India,2012-01-03,Australia,NA,68
Australia,India,2012-01-13,Australia,NA,37
England,Pakistan,2012-01-17,Pakistan,10,NA
Australia,India,2012-01-24,Australia,NA,298
England,Pakistan,2012-01-25,Pakistan,NA,72
New Zealand,Zimbabwe,2012-01-26,New Zealand,NA,301
England,Pakistan,2012-02-03,Pakistan,NA,71
New Zealand,South Africa,2012-03-07,NA,NA,NA
New Zealand,South Africa,2012-03-15,South Africa,9,NA
New Zealand,South Africa,2012-03-23,NA,NA,NA
Sri Lanka,England,2012-03-26,Sri Lanka,NA,75
Sri Lanka,England,2012-04-03,England,8,NA
West Indies,Australia,2012-04-07,Australia,3,NA
West Indies,Australia,2012-04-15,NA,NA,NA
England,West Indies,2012-05-17,England,5,NA
England,West Indies,2012-05-25,England,9,NA
England,West Indies,2012-06-07,NA,NA,NA
Sri Lanka,Pakistan,2012-06-22,Sri Lanka,NA,209
Sri Lanka,Pakistan,2012-06-30,NA,NA,NA
Sri Lanka,Pakistan,2012-07-08,NA,NA,NA
England,South Africa,2012-07-19,South Africa,NA,12
West Indies,New Zealand,2012-07-25,West Indies,9,NA
West Indies,New Zealand,2012-08-02,West Indies,5,NA
England,South Africa,2012-08-02,NA,NA,NA
England,South Africa,2012-08-16,South Africa,NA,51
India,New Zealand,2012-08-23,India,NA,115
India,New Zealand,2012-08-31,India,5,NA
Australia,South Africa,2012-11-09,NA,NA,NA
Bangladesh,West Indies,2012-11-13,West Indies,NA,77
India,England,2012-11-15,India,9,NA
Sri Lanka,New Zealand,2012-11-17,Sri Lanka,10,NA
Bangladesh,West Indies,2012-11-21,West Indies,10,NA
Australia,South Africa,2012-11-22,NA,NA,NA
India,England,2012-11-23,England,10,NA
Sri Lanka,New Zealand,2012-11-25,New Zealand,NA,167
Australia,South Africa,2012-11-30,South Africa,NA,309
India,England,2012-12-05,England,7,NA
India,England,2012-12-13,NA,NA,NA
Australia,Sri Lanka,2012-12-14,Australia,NA,137
Australia,Sri Lanka,2012-12-26,Australia,NA,201
South Africa,New Zealand,2013-01-02,South Africa,NA,27
South Africa,New Zealand,2013-01-11,South Africa,NA,193
South Africa,Pakistan,2013-02-01,South Africa,NA,211
South Africa,Pakistan,2013-02-14,South Africa,4,NA
South Africa,Pakistan,2013-02-22,South Africa,NA,18
India,Australia,2013-02-22,India,8,NA
India,Australia,2013-03-02,India,NA,135
New Zealand,England,2013-03-06,NA,NA,NA
Sri Lanka,Bangladesh,2013-03-08,NA,NA,NA
West Indies,Zimbabwe,2013-03-12,West Indies,9,NA
New Zealand,England,2013-03-14,NA,NA,NA
India,Australia,2013-03-14,India,6,NA
Sri Lanka,Bangladesh,2013-03-16,Sri Lanka,7,NA
West Indies,Zimbabwe,2013-03-20,West Indies,NA,65
India,Australia,2013-03-22,India,6,NA
New Zealand,England,2013-03-22,NA,NA,NA
Zimbabwe,Bangladesh,2013-04-17,Zimbabwe,NA,335
Zimbabwe,Bangladesh,2013-04-25,Bangladesh,NA,143
England,New Zealand,2013-05-16,England,NA,170
England,New Zealand,2013-05-24,England,NA,247
England,Australia,2013-07-10,England,NA,14
England,Australia,2013-07-18,England,NA,347
