player,country,start,end,matches,bat_innings,bowl_innings,field_innings,not_outs,runs,high_score,high_score_not_out,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes,overs,maidens,wickets,economy,best_bowling_innings,four_wickets,five_wickets,ten_wickets,dismissals,caught,caught_fielder,caught_behind,stumped,max_dismissals_innings
A Ahmadhel,BUL,2019,2024,12,8,8,11,1,188,15,FALSE,15.273809523809524,50,41.83333333333333,0,0,1,3,0,17.4,0,6,8.773584905660378,2/16,0,0,0,1,1,1,0,0,1
A Amado,ISR,2022,2022,3,3,3,3,0,83,16,FALSE,13.833333333333332,37,39.78378378378378,0,0,0,3,0,6,0,3,9.666666666666666,2/38,0,0,0,2,2,2,0,0,1
A Andrews,SUI,2021,2022,7,4,4,7,2,116,30,TRUE,18.75,40,50.75,0,0,1,3,0,11,0,4,7.454545454545454,3/21,0,0,0,7,7,7,0,0,2
A Anemogiannis,GRC,2019,2019,1,0,0,1,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
A Ashok,New Zealand,2023,2023,2,2,3,3,0,158,NA,FALSE,55.75,0,51.75,0,0,0,0,0,4,0,2,6.69672131147541,1/63,0,0,0,1,1,1,0,0,1
A Ashokan,CZK-R,2019,2023,31,30,25,31,6,1235,55,TRUE,28.145833333333336,580,67.69051724137931,0,3,0,31,26,74.5,1,20,7.750556792873052,3/32,0,0,0,14,14,14,0,0,2
A Aspiotis,GRC,2019,2019,3,1,3,3,1,74,3,TRUE,Inf,4,45.75,0,0,0,0,0,11,0,4,6.454545454545454,2/24,0,0,0,0,0,0,0,0,0
A Athanaze,West Indies,2023,2024,12,24,6,33,1,698,92,FALSE,Inf,61,Inf,0,3,1,4,5,0,0,1,4.056818181818182,1/53,0,0,0,14,14,14,0,0,5
A Bacher,South Africa,1965,1970,12,22,0,24,1,679,73,FALSE,32.333333333333336,0,NA,0,6,1,0,0,0,0,0,NA,NA,0,0,0,10,10,10,0,0,2
A Bagai,Canada,2003,2013,62,9,0,71,2,284,67,TRUE,40.57142857142857,249,114.0562248995984,0,2,0,27,0,0,0,0,NA,NA,0,0,0,79,64,1,63,15,6
